ID,Name,Description,Contributor,Citation,Text_Number,Media_IDs,Clause_Count,Speaker,Speaker_Gender,Speaker_Age,Speaker_Age_Approximated,Speaker_Year_Born,Speaker_Year_Born_Approximated,Type,Year_Recorded,Recording_Length,Source
iar,iar,,Ulrike Mosel and Stefan Schnell,"Mosel, Ulrike & Schnell, Stefan. 2022. Multi-CAST Teop. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#teop) (date accessed)",1,iar_mp3 iar_wav iar_eaf iar_xml iar_tsv,299,TP01,female,70,yes,1930,yes,TN,2003,880.000022675737,mosel.thiesen2007;mosel2019
mat,mat,,Ulrike Mosel and Stefan Schnell,"Mosel, Ulrike & Schnell, Stefan. 2022. Multi-CAST Teop. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#teop) (date accessed)",2,mat_mp3 mat_wav mat_eaf mat_xml mat_tsv,138,TP02,female,30,yes,1970,yes,TN,2004,415.0,mosel.thiesen2007;mosel2019
sii,sii,,Ulrike Mosel and Stefan Schnell,"Mosel, Ulrike & Schnell, Stefan. 2022. Multi-CAST Teop. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#teop) (date accessed)",3,sii_mp3 sii_wav sii_eaf sii_xml sii_tsv,512,TP03,female,60,yes,1940,yes,TN,2004,1163.0,mosel.thiesen2007;mosel2019
viv,viv,,Ulrike Mosel and Stefan Schnell,"Mosel, Ulrike & Schnell, Stefan. 2022. Multi-CAST Teop. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2211. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#teop) (date accessed)",4,viv_mp3 viv_wav viv_eaf viv_xml viv_tsv,158,TP04,female,30,yes,1970,yes,TN,2004,346.0,mosel.thiesen2007;mosel2019
