ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mcteop,Teop,Papunesia,-5.67474,154.971,teop1238,,"Austronesian, Malayo-Polynesian, Oceanic, Nehan-Bougainville","Papua New Guinea, Bougainville",Teop island
en,English,,,,stan1293,,,,
